node_u,node_v,length,u_degree,v_degree,dx,dy,edge_centrality,u_pagerank,v_pagerank,is_spanner_edge,city
5686022,4111883535,10.779154574176287,4,3,10.357061183545738,3.1003989977762103,1.0187488350231755,0.00015560220063643817,4.735663392671858e-05,1,Eindhoven
5686022,251302843,10.558667494692102,4,4,2.0691552736097947,-10.360276683233678,1.384242604724759,0.00015560220063643817,0.00023332329854446185,1,Eindhoven
5686022,25243590,25.79280719048605,4,4,-4.768590816063806,25.36337272822857,0.597175200278435,0.00015560220063643817,6.39840654281329e-05,1,Eindhoven
5686022,42641774,250.71797839542745,4,4,-241.91751040820964,-68.38957814872265,0.06356319918820168,0.00015560220063643817,0.00017812952812622666,0,Eindhoven
4111883535,42643555,28.47945369180139,3,5,27.509292939910665,7.66672554705292,0.5088289680270327,4.735663392671858e-05,7.626543093671909e-05,1,Eindhoven
4111883535,25294729,40.62599579974121,3,5,21.855470586684532,31.230142161250114,0.3603517396235661,4.735663392671858e-05,0.00017150070570043274,0,Eindhoven
251302843,42641873,123.14746441763886,4,5,-107.1616216407856,-48.44525787886232,0.16109873925994095,0.00023332329854446185,0.00021722609294879083,1,Eindhoven
251302843,42643555,41.46619316238907,4,5,35.79719884984661,21.12740122806281,0.4709628650611742,0.00023332329854446185,7.626543093671909e-05,0,Eindhoven
251302843,251302863,452.6828692362442,4,3,71.20650589605793,-0.904458886012435,0.026450194207688488,0.00023332329854446185,0.0001875058152017147,0,Eindhoven
25243566,1025523148,53.74323254089353,3,2,39.271809511468746,-36.62869840860367,0.1096025886947389,0.00016169052972510897,8.686286252384125e-05,1,Eindhoven
25243566,5912888845,116.52986262954417,3,3,87.71903136896435,-75.85158446151763,0.07657628281561198,0.00016169052972510897,9.050481531125833e-05,0,Eindhoven
25243566,42619187,112.90114564790396,3,3,-62.31221222272143,94.28996185865253,0.07901588652866742,0.00016169052972510897,0.00019727977126831939,1,Eindhoven
1025523148,42615890,78.73578237623607,2,5,57.034299175371416,-54.44943547435105,0.1254142080504666,8.686286252384125e-05,0.00015923562958452856,1,Eindhoven
25243590,438088752,13.682185940660416,4,3,-13.22469722351525,-3.6650386285036802,0.817316988662264,6.39840654281329e-05,0.00015573820473897086,1,Eindhoven
25243590,25294729,37.94480630678218,4,5,36.98112258629408,8.967168430797756,0.5135472967166107,6.39840654281329e-05,0.00017150070570043274,1,Eindhoven
25243590,5228501171,29.48537474511236,4,3,-6.014683535555378,28.883297708816826,0.39363137571152634,6.39840654281329e-05,9.580959581846954e-05,1,Eindhoven
438088752,42642270,237.78947073473572,3,4,-228.9009080111282,-66.96887821704149,0.05025347207762963,0.00015573820473897086,0.0002514496126627764,1,Eindhoven
438088752,5228501171,34.40680546607196,3,3,7.210013687959872,32.54833633732051,0.25418842173220385,0.00015573820473897086,9.580959581846954e-05,0,Eindhoven
25274154,55544395,43.12673375508203,1,3,-8.438445750973187,42.318347283639014,0.06798599725624363,4.666972713719671e-05,0.00014417104484853131,1,Eindhoven
